67,-25,-73,-51,-28,0,-45,-13,-32,-51,85,71,-37,-52,46,-18,-14,51,-13,-43,-11,40,22,53,-42,6,-88,-5,7,20,45,31,-36,6,15,-16,-8,-42,-8,-37,-1,-40,-3,-29,-32,43,31,80,19,28,56,-19,-34,-1,95,17,-8,23,42,1,19,-18,-28,51,32,-93,-45,19,70,69,38,81,53,110,-45,17,23,41,29,18,-22,63,56,75
-74,-37,50,19,19,-54,-43,40,-31,3,45,-67,-6,10,126,49,57,13,-33,-62,-13,11,27,16,-17,81,-106,-112,-66,-54,107,-71,-60,13,9,-35,12,-65,-82,1,-46,20,102,-13,-52,65,86,15,85,18,6,10,-57,-40,-12,-11,-8,1,125,17,74,125,-5,42,-8,-46,-94,-106,-73,47,96,58,-19,44,-64,66,-11,3,80,79,37,34,-8,15
39,38,-49,-67,-12,21,-57,-23,77,-27,50,25,-48,-28,-9,-38,42,12,41,-23,-85,31,30,52,-22,64,3,5,17,10,-23,50,-42,-18,-33,70,8,-72,-47,-62,16,-70,-12,-73,-13,-60,69,-62,-31,-29,53,2,-15,-16,9,-7,19,37,-83,-11,27,16,-33,26,-53,5,-53,35,14,21,-26,-26,-19,-11,-14,-53,26,-26,24,-97,-45,54,-13,-34
29,24,-39,0,41,72,-4,2,67,62,-48,48,45,-10,-39,-13,-43,-41,-10,28,-6,10,13,73,-29,-54,-46,-34,-25,-63,-17,9,-3,20,37,-62,29,25,-16,-32,38,-41,51,-22,-3,-75,-6,-51,-42,3,29,18,6,-6,-26,90,32,-1,-66,2,1,-81,35,15,-36,6,-30,13,-42,-2,41,9,-13,-4,17,4,95,-33,41,-34,85,31,67,-37
-26,69,73,-79,-50,-115,-17,30,30,-80,8,-62,35,64,-18,63,123,13,102,32,-2,-46,-35,51,22,23,85,115,4,75,-77,-95,7,65,15,52,-14,-1,56,32,71,-27,85,17,-81,25,8,38,-49,121,5,-1,-35,12,-43,-6,75,20,8,19,18,62,-36,7,113,-12,-87,-17,106,-25,93,2,97,74,18,-34,14,126,-38,3,-68,-21,-35,-67
-59,4,72,-24,0,-46,28,-92,23,64,-111,8,-109,-34,-84,-33,55,-103,27,58,-22,0,127,-96,-47,-10,-39,-7,-17,-80,17,16,44,-92,-9,71,-12,-20,-20,52,-6,26,-73,73,30,71,121,-74,-62,80,-50,89,102,-64,11,-103,45,-20,-96,-36,-69,-60,-68,-9,-37,63,-44,-127,-91,-32,90,-91,11,40,14,-21,-45,-31,16,-61,-61,-9,-90,-85
45,-46,-15,30,-68,39,30,-45,45,41,13,52,24,-13,-32,-37,-72,50,-75,-50,16,-27,-47,56,-17,24,2,22,6,65,-58,-28,-13,0,-2,-82,-2,18,-2,46,-26,54,-89,-77,35,31,-7,2,-16,-18,-32,57,25,22,75,57,-61,-36,-3,-50,27,20,-1,7,-56,-2,-27,51,-46,-23,-51,-44,-8,-60,37,40,30,-45,-47,-53,-31,-14,11,-29
59,70,-40,16,-10,-5,-57,-66,46,34,-38,40,-56,-68,-69,-8,-37,-40,-20,20,29,24,-59,58,56,50,64,78,1,28,-41,-25,121,-15,16,10,13,88,92,39,7,-9,-63,20,-44,-79,-64,-51,-71,-17,43,-64,122,-1,-45,21,33,-64,-126,-33,40,-30,51,-84,40,27,-5,-42,31,-35,26,-7,90,-32,32,-10,15,19,59,-79,40,22,-10,-113
67,-55,-63,47,53,36,-11,51,-55,23,-55,55,13,-51,-8,-78,-1,64,10,-20,31,33,-28,-10,-27,52,-32,30,16,3,50,-14,-3,17,82,-21,45,-19,-40,34,-37,32,45,-83,42,47,27,86,70,-90,-52,12,31,-7,55,-60,-55,-29,-3,-7,-67,-25,53,48,-44,5,-20,-23,14,39,-77,54,5,28,23,28,-64,-23,-2,32,-41,-28,-76,-35
12,11,18,-62,-113,-48,-5,5,-66,-51,76,-15,52,-27,42,24,51,4,37,31,-95,-20,52,45,-36,122,-23,-28,28,52,27,-17,-43,-8,39,-105,-64,-12,-124,16,-35,72,81,-18,-27,55,55,53,51,16,-15,90,-44,-37,17,-55,-78,-49,12,-14,60,24,-41,-38,-17,-76,-91,-66,95,-2,107,9,18,-55,9,60,32,35,-29,42,-67,-19,4,-29
